,title,hours,videos,exercises,participants,xp,clean,descriptions,tracks,instructors,datasets,prereqs,link,topic,tech
66,Data Visualization with ggplot2 (Part 2),5,11,55,"45,129","4,750",Data Visualization ggplot2,"Data Visualization with ggplot2 (Part 2)
This ggplot2 tutorial builds on your knowledge from the first course to produce meaningful explanatory plots. We'll explore the last four optional layers. Statistics will be calculated on the fly and we’ll see how Coordinates and Facets aid in communication. Publication quality plots will be produced directly in R using the Themes layer. We’ll also discuss details on data visualization best practices with ggplot2 to help make sure you have a sound understanding of what works and why. By the end of the course, you’ll have all the tools needed to make a custom plotting function to explore a large data set, combining statistics and excellent visuals.
In this chapter, we’ll delve into how to use R ggplot2 as a tool for graphical data analysis, progressing from just plotting data to applying a variety of statistical methods. This includes a variety of linear models, descriptive and inferential statistics (mean, standard deviation and confidence intervals) and custom functions.
The Coordinates and Facets layers offer specific and very useful tools for efficiently and accurately communicating data. In this chapter we’ll look at the various ways of effectively using these two layers.
Now that you’ve built high-quality plots, it’s time to make them pretty. This is the last step in the data viz process. The Themes layer will enable you to make publication quality plots directly in R.
Once you have the technical skill to make great visualizations, it’s important that you make them as meaningful as possible. In this chapter we’ll go over three plot types that are mostly discouraged in the data viz community - heat maps, pie charts and dynamite plots. We’ll understand what the problems are with these plots and what the alternatives are.
In this case study, we’ll explore the large, publicly available California Health Interview Survey dataset from 2009. We’ll go step-by-step through the development of a new plotting method - a mosaic plot - combining statistics and flexible visuals. At the end, we’ll generalize our new plotting method to use on a variety of datasets we’ve seen throughout the first two courses.",['Data Visualization with R'],"['Rick Scavetta', 'Vincent Vankrunkelsven', 'Filip Schouwenaars']","[('CHIS adult-response dataset, 2009', 'https://assets.datacamp.com/production/repositories/235/datasets/3b6fc2923b599058584b57d8c605c6bef454d273/CHIS2009_reduced_2.Rdata')]","['Introduction to R', 'Intermediate R', 'Data Visualization with ggplot2 (Part 1)']",https://www.datacamp.com/courses/data-visualization-with-ggplot2-2,Data Visualization,R
67,Data Visualization with ggplot2 (Part 3),6,19,86,"12,529","7,550",Data Visualization ggplot2 (Part 3),"Data Visualization with ggplot2 (Part 3)
In this third ggplot2 course, we'll dive into some advanced topics including geoms commonly used in maths and sciences, strategies for handling large data sets, a variety of specialty plots, and some useful features of ggplot2 internals.
Actually, all the plots you've explored in the first two ggplot2 courses can be considered 'statistical plots'. Here, however, you'll consider those that are intended for a specialist audience that is familiar with the data: box plots and density plots.
In this chapter, you'll explore useful specialty plots for specific data types such as ternary plots, networks and maps. You'll also look at how to use ggplot2 to convert typical base package plots that are used to evaluate the results of statistical methods. Finally, you'll take a look at a couple ways in which you can make and appropriately use animations.
In this chapter, we'll continue our discussion of plots for specific data types by diving into the world of maps. You'll also have a look at animations to make your data come to life!
In this chapter, you'll delve into ggplot2 internals, exploring the grid package and ggproto. You'll learn how to use these tools to create unique plots.
In this chapter, you'll draw on some of the many tools for effective data visualization that we've covered over the three ggplot2 courses and combine them with some data munging techniques.",[],"['Rick Scavetta', 'Filip Schouwenaars']","[('Movies (subset of 10000 observations)', 'https://assets.datacamp.com/production/repositories/414/datasets/a8e67e7190bc3a7ddc7a34a76bdef0fe136adcfb/ch1_movies_small.RDS'), ('Test datasets', 'https://assets.datacamp.com/production/repositories/414/datasets/9f0326fb6c2c53d97b49e8977c1d7126ca3d9586/test_datasets.RData'), ('Mammals', 'https://assets.datacamp.com/production/repositories/414/datasets/26c594b09095fc5e29b28b74b1faf48fa63cdc62/mammals.RDS'), ('Africa', 'https://assets.datacamp.com/production/repositories/414/datasets/8eaf914265a420d7e240bde1ba9e949a4498e5bb/africa.RData'), ('US Cities', 'https://assets.datacamp.com/production/repositories/414/datasets/24739149e0dbdbdc84dcbf275b68616cb2481005/US_Cities.txt'), ('US States', 'https://assets.datacamp.com/production/repositories/414/datasets/7eef36579d107fefbcb38d0c314c963e608c9609/US_States.txt'), ('Germany unemployment data', 'https://assets.datacamp.com/production/repositories/414/datasets/bdedafb52d7060a90f9bf320cf11a274ce02bcfd/germany_unemployment.txt'), ('Population of Japan', 'https://assets.datacamp.com/production/repositories/414/datasets/f2efc9d1f2f07a22843aabef510094c6e5474616/japanPOP.txt'), ('Shape files', 'https://assets.datacamp.com/production/repositories/414/datasets/1e3d8c75d1c8085a0ed893a4a5b4f49e3311fde2/shape_files.zip'), ('Paris weather data', 'https://assets.datacamp.com/production/repositories/414/datasets/df61e885cc58b88db51968a13ca7827897b098e8/FRPARIS.txt'), ('Reykavik weather data', 'https://assets.datacamp.com/production/repositories/414/datasets/45d984ccc4d2afa2023b7139824116040aac3a54/ILREYKJV.txt'), ('New York weather data', 'https://assets.datacamp.com/production/repositories/414/datasets/c37fafe15bfa05a338f8c835e79ee5e242400438/NYNEWYOR.txt'), ('London weather data', 'https://assets.datacamp.com/production/repositories/414/datasets/89250a654c2f83331a90e6538f89d501aa966181/UKLONDON.txt')]","['Introduction to R', 'Intermediate R', 'Data Visualization with ggplot2 (Part 1)', 'Data Visualization with ggplot2 (Part 2)']",https://www.datacamp.com/courses/data-visualization-with-ggplot2-part-3,Data Visualization,R
68,Data-Driven Decision Making in SQL,4,15,54,"3,801","4,550",Data-Driven Decision Making in SQL,"Data-Driven Decision Making in SQL
In this course, you will learn how to use SQL to support decision making. It is based on a case study about an online movie rental company with a database about customer information, movie ratings, background information on actors and more. You will learn to apply SQL queries to study for example customer preferences, customer engagement, and sales development. This course also covers SQL extensions for online analytical processing (OLAP), which makes it easier to obtain key insights from multidimensional aggregated data.
The first chapter is an introduction to the use case of an online movie rental company, called MovieNow and focuses on using simple SQL queries to extract and aggregated data from its database.
More complex queries with GROUP BY, LEFT JOIN and sub-queries are used to gain insight into customer preferences.
The concept of nested queries and correlated nested queries is introduced and the functions EXISTS and UNION  are used to categorize customers, movies, actors, and more.
The OLAP extensions in SQL are introduced and applied to aggregated data on multiple levels.  These extensions are the CUBE, ROLLUP and GROUPING SETS operators.",[],"['Irene Ortner', 'Tim Verdonck', 'Bart Baesens', 'Hadrien Lacroix', 'Mona Khalil']","[('MovieNow', 'https://assets.datacamp.com/production/repositories/4068/datasets/6abeae4810d472a18df091e19ed36373ebed410e/MovieNow.sql')]",['Intermediate SQL'],https://www.datacamp.com/courses/data-driven-decision-making-with-sql,Reporting,SQL
69,Dealing With Missing Data in R,4,14,52,"2,958","4,350",Dealing With Missing Data in R,"Dealing With Missing Data in R
Missing data is part of any real world data analysis. It can crop up in unexpected places, making analyses challenging to understand. In this course, you will learn how to use tidyverse tools and the naniar R package to visualize missing values. You'll tidy missing values so they can be used in analysis and explore missing values to find bias in the data. Lastly, you'll reveal other underlying patterns of missingness. You will also learn how to ""fill in the blanks"" of missing values with imputation models, and how to visualize, assess, and make decisions based on these imputed datasets.
Chapter 1 introduces you to missing data, explaining what missing values are, their behavior in R, how to detect them, and how to count them. We then introduce missing data summaries and how to summarise missingness across cases, variables, and how to explore across groups within the data. Finally, we discuss missing data visualizations, how to produce overview visualizations for the entire dataset and over variables, cases, and other summaries, and how to explore these across groups.
In chapter two, you will learn how to uncover hidden missing values like ""missing"" or ""N/A"" and replace them with `NA`. You will learn how to efficiently handle implicit missing values - those values implied to be missing, but not explicitly listed. We also cover how to explore missing data dependence, discussing Missing Completely at Random (MCAR), Missing At Random (MAR), Missing Not At Random (MNAR), and what they mean for your data analysis.
In this chapter, you will learn about workflows for working with missing data. We introduce special data structures, the shadow matrix, and nabular data, and demonstrate how to use them in workflows for exploring missing data so that you can link summaries of missingness back to values in the data. You will learn how to use ggplot to explore and visualize how values changes as other variables go missing. Finally, you learn how to visualize missingness across two variables, and how and why to visualize missings in a scatterplot.
In this chapter, you will learn about filling in the missing values in your data, which is called imputation. You will learn how to impute and track missing values, and what the good and bad features of imputations are so that you can explore, visualise, and evaluate the imputed data against the original values. You will learn how to use, evaluate, and compare different imputation models, and explore how different imputation models affect the inferences you can draw from the models.",['Intermediate Tidyverse Toolbox'],"['Nicholas Tierney', 'David Campos', 'Shon Inouye', 'Chester Ismay', 'Sascha Mayr']",[],"['Introduction to R', 'Introduction to the Tidyverse']",https://www.datacamp.com/courses/dealing-with-missing-data-in-r,Importing & Cleaning Data,R
70,Dealing with Missing Data in Python,4,14,46,103,"3,800",Dealing Missing Data,"Dealing with Missing Data in Python
Tired of working with messy data? Did you know that most of a data scientist's time is spent in finding, cleaning and reorganizing data?! Well turns out you can clean your data in a smart way! In this course Dealing with Missing Data in Python, you'll do just that!  You'll learn to address missing values for numerical, and categorical data as well as time-series data. You'll learn to see the patterns the missing data exhibits! While working with air quality and diabetes data, you'll also learn to analyze, impute and evaluate the effects of imputing the data.
Get familiar with missing data and how it impacts your analysis! Learn about different null value operations in your dataset, how to find missing data and summarizing missingness in your data.
Analyzing the type of missingness in your dataset is a very important step towards treating missing values. In this chapter, you'll learn in detail how to establish patterns in your missing and non-missing data, and how to appropriately treat the missingness using simple techniques such as listwise deletion.
Embark on the world of data imputation! In this chapter, you will apply basic imputation techniques to fill in missing data and visualize your imputations to be able to evaluate your imputations' performance.
Finally, go beyond simple imputation techniques and make the most of your dataset by using advanced imputation techniques that rely on machine learning models, to be able to accurately impute and evaluate your missing data. You will be using methods such as KNN and MICE in order to get the most out of your missing data!",[],"['Suraj Donthi', 'Adel Nehme']","[('Diabetes', 'https://assets.datacamp.com/production/repositories/4584/datasets/459359643874ba6411189d4a5251204b6142dd7d/pima-indians-diabetes data.csv'), ('Air Quality', 'https://assets.datacamp.com/production/repositories/4584/datasets/2f7155541f430d0e0e94d30a0becabcdc7dabded/air-quality.csv')]","['pandas Foundations', 'Supervised Learning with scikit-learn', 'Introduction to Data Visualization with Python']",https://www.datacamp.com/courses/dealing-with-missing-data-in-python,Data Manipulation,Python
71,Deep Learning in Python,4,17,50,"133,108","3,500",Deep Learning,"Deep Learning in Python
Deep learning is the machine learning technique behind the most exciting capabilities in diverse areas like robotics, natural language processing, image recognition, and artificial intelligence, including the famous AlphaGo. In this course, you'll gain hands-on, practical knowledge of how to use deep learning with Keras 2.0, the latest version of a cutting-edge library for deep learning in Python.
In this chapter, you'll become familiar with the fundamental concepts and terminology used in deep learning, and understand why deep learning techniques are so powerful today. You'll build simple neural networks and generate predictions with them.
Learn how to optimize the predictions generated by your neural networks. You'll use a method called backward propagation, which is one of the most important techniques in deep learning. Understanding how it works will give you a strong foundation to build on in the second half of the course.
In this chapter, you'll use the Keras library to build deep learning models for both regression and classification. You'll learn about the Specify-Compile-Fit workflow that you can use to make predictions, and by the end of the chapter, you'll have all the tools necessary to build deep neural networks.
Learn how to optimize your deep learning models in Keras. Start by learning how to validate your models, then understand the concept of model capacity, and finally, experiment with wider and deeper networks.","['Data Scientist with Python', 'Machine Learning with Python']","['Dan Becker', 'Hugo Bowne-Anderson', 'Yashas Roy']","[('Hourly wages', 'https://assets.datacamp.com/production/repositories/654/datasets/8a57adcdb5bfb3e603dad7d3c61682dfe63082b8/hourly_wages.csv'), ('MNIST', 'https://assets.datacamp.com/production/repositories/654/datasets/24769dae9dc51a77b9baa785d42ea42e3f8f7538/mnist.csv'), ('Titanic', 'https://assets.datacamp.com/production/repositories/654/datasets/92b75b9bc0c0a8a30999d76f4a1ee786ef072a9c/titanic_all_numeric.csv')]","['Introduction to Python', 'Intermediate Python for Data Science', 'Supervised Learning with scikit-learn']",https://www.datacamp.com/courses/deep-learning-in-python,Machine Learning,Python
72,Deep Learning with Keras in Python,4,15,59,"1,425","4,950",Deep Learning Keras,"Deep Learning with Keras in Python
Deep learning is here to stay! It's the go-to technique to solve complex problems that arise with unstructured data and an incredible tool for innovation. Keras is one of the frameworks that make it easier to start developing deep learning models, and it's versatile enough to build industry-ready models in no time. In this course, you will learn regression and save the earth by predicting asteroid trajectories, apply binary classification to distinguish between real and fake dollar bills, use multiclass classification to decide who threw which dart at a dart board, learn to use neural networks to reconstruct noisy images and much more. Additionally, you will learn how to better control your models during training and how to tune them to boost their performance.
In this first chapter, you will get introduced to neural networks, understand what kind of problems they can solve, and when to use them. You will also build several networks and save the earth by training a regression model that approximates the orbit of a meteor that is approaching us!
By the end of this chapter, you will know how to solve binary, multi-class, and multi-label problems with neural networks. All of this by solving problems like detecting fake dollar bills, deciding who threw which dart at a board, and building an intelligent system to water your farm. You will also be able to plot model training metrics and to stop training and save your models when they no longer improve.
In the previous chapters, you've trained a lot of models! You will now learn how to interpret learning curves to understand your models as they train. You will also visualize the effects of activation functions, batch-sizes, and batch-normalization. Finally, you will learn how to perform automatic hyperparameter optimization to your Keras models using sklearn.
It's time to get introduced to more advanced architectures! You will create an autoencoder to reconstruct noisy images, visualize convolutional neural network activations, use deep pre-trained models to classify images and learn more about recurrent neural networks and working with text as you build a network that predicts the next word in a sentence.",[],"['Miguel Esteban', 'Hillary Green-Lerman', 'Sara Billen']","[('Darts', 'https://assets.datacamp.com/production/repositories/4335/datasets/a6f91a00c922a4fa7204787a583461831437d647/darts.csv'), ('Banknotes', 'https://assets.datacamp.com/production/repositories/4335/datasets/40eb98aaa7c03af87689d363a3e08ab59e38077c/banknotes.csv'), ('MNIST', 'https://assets.datacamp.com/production/repositories/4335/datasets/1c42fb4e5245742f7c3ed188682e2f7e2275f459/MNIST.zip'), ('Irrigation Machine', 'https://assets.datacamp.com/production/repositories/4335/datasets/e8e07e4d8969b5fb8f1d2eae9615feaa2ff5f319/irrigation_machine.csv'), ('Digits', 'https://assets.datacamp.com/production/repositories/4335/datasets/01772a23927623e41fbaaab2ab456e00ba4fcb92/Digits.zip')]",['Supervised Learning with scikit-learn'],https://www.datacamp.com/courses/deep-learning-with-keras-in-python,Machine Learning,Python
73,Deep Learning with PyTorch,4,17,53,"1,522","4,300",Deep Learning PyTorch,"Deep Learning with PyTorch
Neural networks have been at the forefront of Artificial Intelligence research during the last few years, and have provided solutions to many difficult problems like image classification, language translation or Alpha Go. PyTorch is one of the leading deep learning frameworks, being at the same time both powerful and easy to use. In this course you will use PyTorch to first learn about the basic concepts of neural networks, before building your first neural network to predict digits from MNIST dataset. You will then learn about convolutional neural networks, and use them to build much more powerful models which give more accurate results. You will evaluate the results and use different techniques to improve them. Following the course, you will be able to delve deeper into neural networks and start your career in this fascinating field.
In this first chapter, we introduce basic concepts of neural networks and deep learning using PyTorch library.
In this second chapter, we delve deeper into Artificial Neural Networks, learning how to train them with real datasets.
In this third chapter, we introduce convolutional neural networks, learning how to train them and how to use them to make predictions.
In this last chapter, we learn how to make neural networks work well in practice, using concepts like regularization, batch-normalization and transfer learning.",[],"['Ismail Elezi', 'Hadrien Lacroix', 'Hillary Green-Lerman']",[],"['Supervised Learning with scikit-learn', 'Object-Oriented Programming in Python']",https://www.datacamp.com/courses/deep-learning-with-pytorch,Machine Learning,Python
74,Defensive R Programming,4,16,51,861,"3,400",Defensive R Programming,"Defensive R Programming
Writing R scripts is easy. Writing good R code is hard. In this course, we'll discuss defensive programming - a set of standard techniques that will help reduce bugs and aid working in teams. We examine techniques for avoiding common errors and also how to handle the inevitable error that arises in our code. The course will conclude looking at when to make the transition from script to project to package.
In this first chapter, you'll learn what defensive programming is,  and how to use existing packages for increased efficiency. You will then learn to manage the packages loaded in your environment and the potential conflicts that may arise.
Programming is simpler when you get feedback on your code execution. In R, we use messages, warnings and errors to signal to keep the user informed. This chapter will discuss when and where you should use these communication tools.
We can avoid making mistakes using a consistent programming approach. In this chapter, we will introduce you to R best practices.
Creating a script is nice, but working on a project with several scripts and assets requires structure. This final chapter will teach you good organization practices, so you can go from script to package with an optimal workflow.",[],"['Colin Gillespie', 'Hadrien Lacroix', 'Sascha Mayr']",[],['Intermediate R'],https://www.datacamp.com/courses/defensive-r-programming,Programming,R
75,Designing Machine Learning Workflows in Python,4,16,51,"1,873","4,200",Designing Machine Learning Workflows,"Designing Machine Learning Workflows in Python
Deploying machine learning models in production seems easy with modern tools, but often ends in disappointment as the model performs worse in production than in development. This course will give you four superpowers that will make you stand out from the data science crowd and build pipelines that stand the test of time: how to exhaustively tune every aspect of your model in development; how to make the best possible use of available domain expertise; how to monitor your model in performance and deal with any performance deterioration; and finally how to deal with poorly or scarcely labelled data. Digging deep into the cutting edge of sklearn, and dealing with real-life datasets from hot areas like personalized healthcare and cybersecurity, this course reveals a view of machine learning from the frontline.
In this chapter, you will be reminded of the basics of a supervised learning workflow, complete with model fitting, tuning and selection, feature engineering and selection, and data splitting techniques. You will understand how these steps in a workflow depend on each other, and recognize how they can all contribute to, or fight against overfitting: the data scientist's worst enemy. By the end of the chapter, you will already be fluent in supervised learning, and ready to take the dive towards more advanced material in later chapters.
In the previous chapter, you perfected your knowledge of the standard supervised learning workflows. In this chapter, you will critically examine the ways in which expert knowledge is incorporated in supervised learning. This is done through the identification of the appropriate unit of analysis which might require feature engineering across multiple data sources, through the sometimes imperfect process of labeling examples, and through the specification of a loss function that captures the true business value of errors made by your machine learning model.
In the previous chapter, you employed different ways of incorporating feedback from experts in your workflow, and evaluating it in ways that are aligned with business value. Now it is time for you to practice the skills needed to productize your model and ensure it continues to perform well thereafter by iteratively improving it. You will also learn to diagnose dataset shift and mitigate the effect that a changing environment can have on your model's accuracy.
In the previous chapters you established a solid foundation in supervised learning, complete with knowledge of deploying models in production but always assumed you a labeled dataset would be available for your analysis. In this chapter, you take on the challenge of modeling data without any, or with very few, labels. This takes you into a journey into anomaly detection, a kind of unsupervised modeling, as well as distance-based learning, where beliefs about what constitutes similarity between two examples can be used in place of labels to help you achieve levels of accuracy comparable to a supervised workflow. Upon completing this chapter, you will clearly stand out from the crowd of data scientists in confidently knowing what tools to use to modify your workflow in order to overcome common real-world challenges.",[],"['Christoforos Anagnostopoulos', 'Chester Ismay', 'Sara Billen']","[('Credit', 'https://assets.datacamp.com/production/repositories/3554/datasets/e02f7e59fc8b6cbd9fc7032fe595038f4171ef16/credit.csv'), ('Flows', 'https://assets.datacamp.com/production/repositories/3554/datasets/18a574bfeef99241c2fe45db6314fdaeb4b288fe/lanl_flows.csv'), ('Attacks', 'https://assets.datacamp.com/production/repositories/3554/datasets/e52ee3093aee49f8599dd30dc0acada35cbc2873/redteam.csv'), ('Hepatitis', 'https://assets.datacamp.com/production/repositories/3554/datasets/7a8662884e2157642c3eb287bee39346040c8bef/hep.csv'), ('Proteins', 'https://assets.datacamp.com/production/repositories/3554/datasets/76399b36f4b8a83a3a441f39cf1cc1171171db5c/proteins_exercises.csv'), ('Arrhythmia', 'https://assets.datacamp.com/production/repositories/3554/datasets/eb59119dbc87d95d89b446b825cb38854a59411e/arrh.csv')]","['Python Data Science Toolbox (Part 2)', 'Supervised Learning with scikit-learn', 'Unsupervised Learning in Python']",https://www.datacamp.com/courses/designing-machine-learning-workflows-in-python,Machine Learning,Python
76,Designing and Analyzing Clinical Trials in R,4,15,48,"1,482","4,000",Designing and Analyzing Clinical Trials in R,"Designing and Analyzing Clinical Trials in R
Clinical trials are scientific experiments that are conducted to assess whether treatments are effective and safe. They are used by a variety of organizations, including pharmaceutical companies for drug development. Biostatisticians play a key role in ensuring the success of a clinical trial. In this course you will gain an overview of the important principles and a practical introduction to commonly used statistical analyses. This course would be valuable for data analysts, medical students, clinicians, medical researchers and others interested in learning about the design and analysis of clinical trials.
In this chapter you will be introduced to the important principles of clinical trials.
In this chapter you will be introduced to randomization methods and different types of trial designs.
By the end of this chapter you will be able to calculate the numbers of patients needed for a clinical trial under a range of scenarios.
In this chapter we will explore additional statistical techniques that are commonly used to analyze data from clinical trials.",[],"['Tamuno Alfred', 'Sascha Mayr', 'David Campos', 'Shon Inouye']","[('Acupuncture dataset', 'https://assets.datacamp.com/production/repositories/1956/datasets/4e5e58dcff952229111ee184bb8a1823f6fa3c7a/Ex1_1_1.Rds'), ('Fact dataset', 'https://assets.datacamp.com/production/repositories/1956/datasets/b23c39b7e793e05d89bc33becd78f0d858287b2b/fact.data.Rds'), ('PK dataset', 'https://assets.datacamp.com/production/repositories/1956/datasets/5d31c5d48a9384dd5dd401e018af6fb452476aaf/PKData.Rds')]","['Introduction to R', 'Introduction to Data', 'Exploratory Data Analysis']",https://www.datacamp.com/courses/designing-and-analyzing-clinical-trials-in-r,Case Studies,R
77,Developing R Packages,4,16,56,"1,946","4,200",Developing R Packages,"Developing R Packages
In this course, you will learn the end-to-end process for creating an R package from scratch.  You will start off by  creating the basic structure for your package, and adding in important details like functions and metadata.  Once the basic components of your package are in place, you will learn about how to document your package, and why this is important for creating quality packages that other people - as well as your future self - can use with ease.  Once you have created the components of your package, you will learn how to test they work properly, by creating tests, running checks, and building your package.  By the end of this course you can expect to have all the necessary skills to create and share your own R packages.
In this chapter, you will learn the basics of creating an R package.  You will learn about the structure of R packages, set up a package, and write a function and include it in your package.  You will also learn about the metadata stored in the DESCRIPTION and NAMESPACE files.
In this chapter, you will learn how to document your package.  You will learn why documentation is important, and how to provide documentation for your package, its functions, and other components.  You will also learn about what it means to export a function and how to implement this in your package.
In this chapter, you will learn about how to run checks to ensure that your R package is correctly structured and can be installed.  You will learn how to correct common problems, and get your package ready to be built so it can be shared with others.
In the final chapter, you will learn how to add tests to your package to ensure your code runs as expected if the package is updated or changes. You will look at how to test functions to ensure they produce expected values, and also how to test for other aspects of functionality such as expected errors.  Once you've written tests for your functions, you'll finally learn how to run your tests and what to do in the case of a failing test.",[],"['Aimee Gott', 'Nic Crane', 'Richie Cotton', 'Sumedh Panchadhar', 'Eunkyung Park']",[],['Writing Functions in R'],https://www.datacamp.com/courses/developing-r-packages,Programming,R
78,Differential Expression Analysis in R with limma,4,15,47,"1,477","3,900",Differential Expression Analysis in R limma,"Differential Expression Analysis in R with limma
Functional genomic technologies like microarrays, sequencing, and mass spectrometry enable scientists to gather unbiased measurements of gene expression levels on a genome-wide scale. Whether you are generating your own data or want to explore the large number of publicly available data sets, you will first need to learn how to analyze these types of experiments. In this course, you will be taught how to use the versatile R/Bioconductor package limma to perform a differential expression analysis on the most common experimental designs. Furthermore, you will learn how to pre-process the data, identify and correct for batch effects, visually assess the results, and perform enrichment testing. After completing this course, you will have general analysis strategies for gaining insight from any functional genomics study.
To begin, you'll review the goals of differential expression analysis, manage gene expression data using R and Bioconductor, and run your first differential expression analysis with limma.
In this chapter, you'll learn how to construct linear models to test for differential expression for common experimental designs.
Now that you've learned how to perform differential expression tests, next you'll learn how to normalize and filter the feature data, check for technical batch effects, and assess the results.
In this final chapter, you'll use your new skills to perform an end-to-end differential expression analysis of a study that uses a factorial design to assess the impact of the cancer drug doxorubicin on the hearts of mice with different genetic backgrounds.",[],"['John Blischak', 'Richie Cotton', 'David Campos', 'Shon Inouye']","[('Doxorubicin dataset', 'https://assets.datacamp.com/production/repositories/1626/datasets/bb773b0ece1e325dc23933f8e492ef4d1a17cddd/dox.rds'), ('Leukemia dataset', 'https://assets.datacamp.com/production/repositories/1626/datasets/0decef2850200efcf87b107b080959b31ec681ba/cll-eset.rds'), ('Hypoxia dataset', 'https://assets.datacamp.com/production/repositories/1626/datasets/db8dbd1c9889333384a3a78a30c745b4251e6c06/stem-eset.rds')]","['Introduction to R', 'Introduction to Data']",https://www.datacamp.com/courses/differential-expression-analysis-in-r-with-limma,Other,R
79,Dimensionality Reduction in Python,4,16,58,"2,283","4,700",Dimensionality Reduction,"Dimensionality Reduction in Python
High-dimensional datasets can be overwhelming and leave you not knowing where to start. Typically, you’d visually explore a new dataset first, but when you have too many dimensions the classical approaches will seem insufficient. Fortunately, there are visualization techniques designed specifically for high dimensional data and you’ll be introduced to these in this course. After exploring the data, you’ll often find that many features hold little information because they don’t show any variance or because they are duplicates of other features. You’ll learn how to detect these features and drop them from the dataset so that you can focus on the informative ones. In a next step, you might want to build a model on these features, and it may turn out that some don’t have any effect on the thing you’re trying to predict. You’ll learn how to detect and drop these irrelevant features too, in order to reduce dimensionality and thus complexity. Finally, you’ll learn how feature extraction techniques can reduce dimensionality for you through the calculation of uncorrelated principal components.
You'll be introduced to the concept of dimensionality reduction and will learn when an why this is important. You'll learn the difference between feature selection and feature extraction and will apply both techniques for data exploration.  The chapter ends with a lesson on t-SNE, a powerful feature extraction technique that will allow you to visualize a high-dimensional dataset.
In this first out of two chapters on feature selection, you'll learn about the curse of dimensionality and how dimensionality reduction can help you overcome it. You'll be introduced to a number of techniques to detect and remove features that bring little added value to the dataset. Either because they have little variance, too many missing values, or because they are strongly correlated to other features.
In this second chapter on feature selection, you'll learn how to let models help you find the most important features in a dataset for predicting a particular target feature. In the final lesson of this chapter, you'll combine the advice of multiple, different, models to decide on which features are worth keeping.
This chapter is a deep-dive on the most frequently used dimensionality reduction algorithm, Principal Component Analysis (PCA). You'll build intuition on how and why this algorithm is so powerful and will apply it both for data exploration and data pre-processing in a modeling pipeline.  You'll end with a cool image compression use case.",[],"['Jeroen Boeye', 'Aleksandra Vercauteren', 'Hadrien Lacroix', 'Hillary Green-Lerman', 'Chester Ismay']","[('ANSUR Female', 'https://assets.datacamp.com/production/repositories/3515/datasets/802fc5cdbe3a29248483e496a966627ea9629e7a/ANSUR_II_FEMALE.csv'), ('ANSUR Male', 'https://assets.datacamp.com/production/repositories/3515/datasets/28edd853c0a6aa7316b0d84a21f8e0d821e5010d/ANSUR_II_MALE.csv'), ('Diabetes', 'https://assets.datacamp.com/production/repositories/3515/datasets/87ced33d5371cdc13f9301ecb99ead36a63c8197/PimaIndians.csv'), ('Grocery store sales', 'https://assets.datacamp.com/production/repositories/3515/datasets/236dfa1d124bf01147dd5b3da595066fcf84a1a4/grocery_sales.csv'), ('Boston Public Schools', 'https://assets.datacamp.com/production/repositories/3515/datasets/8d23ca278dcc6c6b59629a47e1474afd93ad960c/Public_Schools2.csv'), ('Pokemon', 'https://assets.datacamp.com/production/repositories/3515/datasets/9b0682ecacc5a3429f62947794d1adbeecbd5a11/pokemon.csv')]",['Supervised Learning with scikit-learn'],https://www.datacamp.com/courses/dimensionality-reduction-in-python,Machine Learning,Python
80,Dimensionality Reduction in R,4,14,46,"2,141","3,450",Dimensionality Reduction in R,"Dimensionality Reduction in R
Real-world datasets often include values for dozens, hundreds, or even thousands of variables. Our minds cannot efficiently process such high-dimensional datasets to come up with useful, actionable insights. How do you deal with these multi-dimensional swarms of data points? How do you uncover and visualize hidden patterns in the data? In this course, you'll learn how to answer these questions by mastering three fundamental dimensionality reduction techniques - Principal component analysis (PCA), non-negative matrix factorisation (NNMF), and exploratory factor analysis (EFA).
As a data scientist, you'll frequently have to deal with messy and high-dimensional datasets. In this chapter, you'll learn how to use Principal Component Analysis (PCA) to effectively reduce the dimensionality of such datasets so that it becomes easier to extract actionable insights from them.
Here, you'll build on your knowledge of PCA by tackling more advanced applications, such as dealing with missing data. You'll also become familiar with another essential dimensionality reduction technique called Non-negative matrix factorization (NNMF) and how to use it in R.
Become familiar with exploratory factor analysis (EFA), another dimensionality reduction technique that is a natural extension to PCA.
Round out your mastery of dimensionality reduction in R by extending your knowledge of EFA to cover more advanced applications.",[],"['Alexandros Tantos', 'Yashas Roy', 'Richie Cotton', 'Benjamin  Feder']","[('BBC dataset', 'https://assets.datacamp.com/production/course_4249/datasets/bbc_res.rds'), ('Humor Styles Questionnaire dataset', 'https://assets.datacamp.com/production/course_4249/datasets/humor_dataset.csv'), ('Short Dark Triad dataset', 'https://assets.datacamp.com/production/course_4249/datasets/SD3.RDS')]",['Unsupervised Learning in R'],https://www.datacamp.com/courses/dimensionality-reduction-in-r,Machine Learning,R
